REVENUE,MOU,RECCHRGE,DIRECTAS,OVERAGE,ROAM,CHANGEM,CHANGER,DROPVCE,BLCKVCE,UNANSVCE,CUSTCARE,THREEWAY,MOUREC,OUTCALLS,INCALLS,PEAKVCE,OPEAKVCE,DROPBLK,CALLFWDV,CALLWAIT,CHURN,MONTHS,UNIQSUBS,ACTVSUBS,CSA,PHONES,MODELS,EQPDAYS,CUSTOMER,AGE1,AGE2,CHILDREN,CREDITA,CREDITAA,CREDITB,CREDITC,CREDITDE,CREDITGY,CREDITZ,CREDIT_RATING,PRIZMRUR,PRIZMUB,PRIZMTWN,Column 45,REFURB,WEBCAP,TRUCK,RV,OCCPROF,OCCCLER,OCCCRFT,OCCSTUD,OCCHMKR,OCCRET,OCCSELF,OCC,OCC_LABEL,OWNRENT,MARRYUN,MARRYYES,MARRYNO,MARRY,MARRY_LABEL,MAILORD,MAILRES,MAILFLAG,TRAVEL,PCOWN,CREDITCD,RETCALLS,RETACCPT,NEWCELLY,NEWCELLN,REFER,INCMISS,INCOME,MCYCLE,CREDITAD,SETPRCM,SETPRC,RETCALL,CALIBRAT,CHURNDEP
12.79,179.25,10,2.23,2.25,0,-61.25,2.43,2.33,0.33,20.67,0,0,2.93,7.33,1,36.67,4.33,2.67,0,0.33,0,42,2,2,SFROAK510,2,2,1104,1002587,38,38,1,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NONE,0,0,1,0,2,UNKNOWN,0,0,0,0,0,1,0,0,0,1,0,0,9,0,0,0,29.99,0,0,
31.44,85.5,29.99,0,0,0.64,40.5,0.84,2.33,0,7.67,0,0,16.65,2,0.67,27.67,8.33,2.33,0,0,0,37,4,2,PHIPHI215,4,3,574,1002671,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NONE,1,1,0,0,3,UNKNOWN,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,59.99,0,0,
165.05,803.25,69.92,0,100,64.64,-211.25,-92.13,1.33,1.33,12,0,0,211.85,20.67,3.33,102.67,50.67,2.67,0,0,0,37,1,1,KCYKCM816,7,4,4,1002696,56,54,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,CLERICAL,0,0,1,0,2,UNKNOWN,1,1,0,0,1,1,0,0,1,0,0,0,6,0,0,0,129.99,0,0,
83.51,607.75,29.99,0.99,196,0,31.25,36.21,1.33,5,44,0,0,116.42,6.67,2,142,63.33,6.33,0,3,0,42,1,1,SANSAN210,2,2,317,1003026,38,36,0,1,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,NONE,0,0,1,0,2,UNKNOWN,1,1,0,0,1,1,0,0,0,0,0,0,7,0,0,0,29.99,0,0,
60.05,1095.25,40.18,3.47,38.25,0,-733.25,-13.84,1.33,2.67,47.33,4.67,0,318.31,66.33,23,162,101.67,4,0,1.33,0,42,2,2,SANAUS512,2,2,159,1003128,38,40,0,0,0,1,0,0,0,0,3,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,PROFESSIONAL,0,0,1,0,2,UNKNOWN,1,1,0,0,0,1,0,0,0,0,0,0,4,0,1,0,29.99,0,0,
27.45,17.75,22.49,0,0,0,-12.75,-27.45,0.33,0.33,0.67,0,0,2.2,3.67,0.67,6.33,5,0.67,0,0,0,40,2,2,DALDAL214,3,3,134,1003143,46,44,1,1,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,1,PROFESSIONAL,0,0,1,0,2,UNKNOWN,1,1,0,0,1,1,0,0,0,1,0,0,9,0,0,0,59.99,0,0,
153.99,622.75,79.49,13.12,216.75,4.71,287.25,50.16,8.67,0.33,31,0.67,0.33,155.02,30,8,153.67,89.33,9,0,2,0,38,2,2,DENBOU303,3,3,43,1003169,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NONE,1,1,0,0,3,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,59.99,0,0,
232.24,2149,232.49,0,0,21.55,427,24.57,22.33,4.33,103.67,1.67,0,424.67,70,4.67,388,59.33,26.67,0,11,0,41,1,1,NNYBUF716,4,4,32,1003792,52,48,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,7,SELF-EMPLOYED,0,0,1,0,2,UNKNOWN,1,1,0,0,1,1,0,0,0,0,0,0,9,0,0,0,129.99,0,0,
41.71,64.75,25.24,0,32.25,0,36.25,-3.97,0.33,0,1,2.33,0,0,0.33,0,2,1,0.33,0,0,0,37,1,1,NYCNEW732,2,2,60,1003811,88,90,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6,RETIRED,0,0,0,1,0,UNMARRIED,1,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,29.99,0,0,
66.09,304.5,43.62,0,98.25,0,-65.5,-29.35,0,0.33,10.33,0,0,110.63,25.67,23.67,98,34,0.33,0,0.67,0,34,2,2,DALFTW817,3,3,521,1004257,40,36,1,1,0,0,0,0,0,0,1,0,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,NONE,0,0,1,0,2,UNKNOWN,1,1,0,0,1,1,0,0,0,1,0,0,7,0,1,0,29.99,0,0,
62.39,254.75,59.99,1.49,0,0.38,13.25,-1.41,2.33,0.33,2.67,0,0,66.18,4.67,0,31,10.67,2.67,0,0,0,33,1,1,DENDEN303,2,1,766,1004968,54,52,0,1,0,0,0,0,0,0,1,0,1,0,2,0,1,1,0,0,0,0,0,0,1,0,6,RETIRED,0,0,0,1,0,UNMARRIED,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,29.99,0,0,
55.01,1114.25,45,0.99,5.25,1.96,411.75,6.12,16.33,4.33,93,3.67,0.33,156.01,49.33,12.67,294,199.67,20.67,0,0,0,34,3,2,NYCBRO917,6,4,231,1005232,32,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NONE,0,1,0,0,3,UNKNOWN,0,0,0,0,0,1,0,0,0,0,5,0,7,0,0,0,99.99,0,0,
24.62,24.75,23.86,0,1.75,0.32,11.25,36.17,0.33,0.67,1.33,0.33,0,0.39,2.33,0.33,0.33,4.33,1,0,0,0,36,3,2,INDIND317,3,2,945,1005537,30,0,0,0,0,1,0,0,0,0,3,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,NONE,0,0,1,0,2,UNKNOWN,1,1,0,0,0,1,0,0,1,0,0,0,6,0,0,0,29.99,0,0,
44.94,198.25,30,0,4.75,4.71,-167.25,-13.14,2.67,3,9,0.67,0,13.48,17.67,0.33,35.67,17.67,5.67,0,0,0,34,1,1,KCYKCM816,1,1,1023,1005861,38,0,0,0,0,0,1,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,NONE,0,1,0,0,3,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,1,0,0,0,
134.16,426.5,84.99,0,0.25,45.85,-166.5,-45.92,1.67,8.33,30,0.67,0,10,12,0.33,53.33,35.33,10,0,0,0,33,3,3,SANCRP512,2,2,44,1006253,54,48,1,0,0,1,0,0,0,0,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,NONE,0,0,1,0,2,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,29.99,0,0,
56.65,275,29.99,2.23,69.25,0.2,-129,-25.67,2,2.33,14.67,0,0,186.89,5.33,1.33,124,26.33,4.33,0,1.67,0,37,2,1,MIABON941,3,3,324,1006554,50,70,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,PROFESSIONAL,0,0,1,0,2,UNKNOWN,1,1,0,0,0,1,0,0,1,0,0,0,7,0,3,0,29.99,0,0,
54.79,203,29.99,0,30.5,13.84,133,28.21,6.67,0.33,6.67,0,0,19.46,3.67,0.33,56,24,7,0,0,0,31,5,3,NYCMAN917,3,2,263,1006616,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NONE,1,1,0,0,3,UNKNOWN,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,29.99,0,0,
64.28,817,59.99,3.22,21.25,0,-40,-3.82,5,3,34,5.33,0,158.55,75.33,14.33,181,102.33,8,0,5.33,0,31,2,2,DALDAL214,3,3,39,1006709,28,28,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,NONE,0,0,1,0,2,UNKNOWN,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,149.99,0,0,
84.04,365.25,65.24,0.5,58.25,0,72.75,-9.05,0.67,1.67,22.67,0,0,19.64,11.33,5,47.67,23.67,2.33,0,0,0,33,2,2,FLNORL407,3,3,124,1007098,42,40,1,1,0,0,0,0,0,0,1,0,1,0,2,0,1,1,0,1,0,0,0,0,0,0,1,PROFESSIONAL,0,0,1,0,2,UNKNOWN,1,1,0,0,1,1,0,0,1,0,0,0,7,0,0,0,79.99,0,0,
239.74,2308,102.43,0.99,575,7.71,613,144.23,30,1.67,84.67,0.33,0.67,804.86,150,45,526,245.33,31.67,0,1.67,0,31,2,2,NYCNEW201,6,3,52,1007573,42,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NONE,0,0,0,1,0,UNMARRIED,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,149.99,0,0,
82.07,1950,75,2.23,15,0,244,10.91,39.33,5,253.67,2,0.33,472.14,135.67,72.67,787.33,384,44.33,0,23.67,0,34,2,1,SEASEA206,5,4,181,1007867,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NONE,1,1,0,0,3,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,79.99,0,0,
20.4,21.75,16.99,0,9.75,0,4.25,0.44,0.33,0.67,2,0,0,0,0,0,7.67,0.33,1,0,0,0,34,2,2,INDIND317,2,2,281,1007932,38,38,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,PROFESSIONAL,0,1,0,0,3,UNKNOWN,1,1,0,0,0,1,0,0,0,0,0,0,7,0,0,0,29.99,0,0,
45.69,556.5,43.12,0.5,0,1.56,-164.5,-44.7,11.33,0,41,0,2.67,62.84,39,11.33,184,46.67,11.33,0,0,0,30,2,1,NYCNEW201,4,3,289,1007987,62,72,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE,0,0,1,0,2,UNKNOWN,0,0,0,1,1,1,0,0,0,1,0,0,6,0,0,0,9.99,0,0,
91.97,1372,84.99,0,21.25,8.48,631,25.6,15.33,5,56.33,0,0.33,348.82,19.67,6.67,272.67,131,20.33,0,15,0,34,2,2,MIAMIA305,10,6,156,1008069,30,40,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NONE,0,0,0,1,0,UNMARRIED,0,0,0,0,0,1,0,0,1,0,0,0,6,0,0,0,129.99,0,0,
79.12,957.5,75,0.99,20.25,0,-31.5,-7.48,11,1.67,87.33,1,3.67,291.84,41,3.33,158,157.67,12.67,0,5.33,0,34,1,1,BOSBOS617,4,3,454,1008459,26,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,NONE,1,0,0,1,0,UNMARRIED,0,0,0,0,0,1,1,1,1,0,0,0,7,0,2,0,79.99,1,0,
35.15,96,29.99,0,11.75,0.78,-85,-5.16,1,1.33,6.33,0,0,3.19,3.33,0,11.67,10.67,2.33,0,0,0,30,1,1,DALFTW817,1,1,910,1008572,58,0,1,0,0,0,1,0,0,0,4,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,2,CLERICAL,0,0,0,1,0,UNMARRIED,1,1,0,0,1,1,0,0,0,0,0,0,4,0,0,1,0,0,0,
163.37,1341.25,75,0.5,362.75,0,-705.25,-88.37,29.67,7,34.67,0.33,0,259.66,20.33,3,178,100.67,36.67,0,4,0,34,1,1,ATLATL678,4,4,446,1008867,0,0,0,0,0,0,0,1,0,0,5,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,NONE,1,1,0,0,3,UNKNOWN,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9.99,0,0,
48.03,130,30,0.99,14.33,0,,,3,0,2.67,0,0,32.22,0.33,0,30.33,4.33,3,0,0.67,0,30,2,1,DENDEN303,4,2,44,1008890,28,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,NONE,0,1,0,0,3,UNKNOWN,0,0,0,0,0,1,0,0,0,1,0,0,8,0,0,0,29.99,0,0,
163.67,1880.25,134.99,0,110.5,0,399.75,33.78,29,1,41,0.67,0,669.32,21.33,4.33,374,92,30,0,0.33,0,34,1,1,NYCBRO917,4,2,636,1008924,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE,1,1,0,0,3,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,29.99,0,0,
42.87,24.25,42.49,0,0,0,-19.25,-0.38,0.33,0.67,1.67,0,0.33,0,0,0,5.67,2,1,0,0,0,29,2,2,OHICLE216,1,1,890,1009250,44,48,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NONE,0,0,0,1,0,UNMARRIED,1,1,0,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,
123.98,774.5,94.99,6.68,55.25,0,-562.5,-26.02,3.33,9,80.33,1,1.33,198.71,86.33,12.33,363.67,109.67,12.33,0,1.67,0,35,2,2,MIAFTM941,3,2,322,1009293,42,62,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,PROFESSIONAL,0,0,1,0,2,UNKNOWN,1,1,0,0,0,1,0,0,0,0,0,0,9,0,0,0,29.99,0,0,
39.89,446,34.98,0.25,15.75,0,44,12.49,3.33,6.67,22.33,3.33,0.67,116.54,43.33,18.33,73.67,87.33,10,0,3.67,0,29,3,2,DALDAL214,2,2,545,1009391,32,0,0,0,0,1,0,0,0,0,3,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,NONE,0,0,1,0,2,UNKNOWN,0,0,0,0,0,1,1,1,0,0,0,0,6,0,0,0,29.99,1,0,
31.85,266.5,30,0,4.5,0,51.5,4.46,3.67,1,30,0,0,0.5,2.33,0.33,105.67,32.67,4.67,0,0,0,29,1,1,NYCMAN917,2,2,832,1009640,,,0,0,0,0,0,0,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NONE,1,1,0,0,3,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,29.99,0,0,
25.37,66.25,24.99,0,0,0,13.75,-0.38,1.33,0,1.67,0,0,10.12,4.33,2.33,9.67,17.33,1.33,0,0.33,0,33,2,2,DALFTW817,2,1,883,1009744,52,44,1,1,0,0,0,0,0,0,1,0,0,1,3,0,1,1,0,1,0,0,0,0,0,0,1,PROFESSIONAL,0,1,0,0,3,UNKNOWN,1,1,0,1,1,1,0,0,0,1,0,0,7,0,1,0,29.99,0,0,
30.67,65.75,29.99,0,0,0,-24.75,-0.68,0,0,6,0,0,2.5,6.33,0,16.67,2.67,0,0,0,0,33,1,1,SEASEA206,1,1,984,1009849,40,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,NONE,0,0,0,1,0,UNMARRIED,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,1,0,0,0,
133.34,936.25,109.99,5.94,0,14.16,-169.25,-1.07,9.67,6,65,0,0,232.82,56,35.67,332,77.33,15.67,0,5.33,0,31,1,1,DALFTW817,5,4,12,1009981,44,38,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,NONE,0,0,1,0,2,UNKNOWN,1,1,0,0,1,1,0,0,0,0,0,0,6,0,0,0,199.99,0,0,
46.35,429.25,44.99,0.25,31.75,0,21.75,13.14,9,1.33,13.33,0,0,89.69,39.67,0.67,111.67,73,10.33,0,0,0,31,1,1,SFROAK510,1,1,930,1010122,40,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,2,CLERICAL,0,0,0,1,0,UNMARRIED,0,0,0,0,0,1,0,0,1,0,0,0,8,0,0,1,0,0,0,
76.69,654,59.99,3.22,0,23.49,-66,-1.38,16,7.33,55.67,0.33,0,130.13,37,1,128.33,50.33,23.33,0,3,0,34,1,1,SANSAN210,4,3,73,1010207,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NONE,1,1,0,0,3,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,29.99,0,0,
130.89,1089.25,139.99,0.74,0,0.16,-258.25,0.09,29.67,3.33,49.33,0,0,233.89,119.33,12.33,452.67,93.33,33,0,2,0,34,3,2,NYCNEW732,3,3,396,1010212,32,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,PROFESSIONAL,0,0,0,1,0,UNMARRIED,1,1,0,0,0,1,0,0,1,0,0,0,4,0,0,0,29.99,0,0,
29.99,48.25,29.99,0,0,0,8.75,0,0,0.33,3.67,0,0,0,0,0,9.33,6,0.33,0,0,0,32,1,1,HOUCON409,1,1,971,1010300,68,64,0,1,0,0,0,0,0,0,1,0,0,1,3,0,1,1,1,0,0,0,0,0,0,0,0,NONE,0,0,1,0,2,UNKNOWN,1,1,1,0,0,1,0,0,0,0,0,0,6,0,0,1,0,0,0,
26.48,139,24.99,0,4,0,-56,-1.1,0,2.67,8.33,0,0,96.76,0.67,0.67,28.67,28.67,2.67,0,0,0,34,2,2,OHICOL614,2,2,403,1010702,50,50,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,NONE,0,0,1,0,2,UNKNOWN,1,1,0,0,0,1,0,0,0,1,0,0,5,0,0,0,29.99,0,0,
49.01,524.5,46.98,0.5,32,0,-144.5,-11.04,6,3,32.67,1.33,1,106.91,13.33,3,81.33,65,9,0,3,0,28,1,1,APCBAL410,3,2,726,1010863,40,0,0,0,0,0,0,1,0,0,5,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,NONE,1,0,0,1,0,UNMARRIED,0,0,0,0,1,1,0,0,1,0,0,0,5,0,0,0,9.99,0,0,
68.86,299,31.99,0.5,78,0,51,1.38,1.67,0.33,13,0.33,0,102.6,7.67,1.67,43.33,27,2,0,0,0,28,1,1,SFRSAC916,3,2,91,1010948,32,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,PROFESSIONAL,0,0,1,0,2,UNKNOWN,0,0,0,0,1,1,0,0,1,0,0,0,5,0,0,0,9.99,0,0,
55.73,198.75,29.57,0.5,63.5,0,-24.75,-25.74,8.67,1,10,0.67,0,51.23,25.33,6,56,40,9.67,0,1,0,28,1,1,BOSBOS617,1,1,841,1011068,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,NONE,1,0,0,1,0,UNMARRIED,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,0,0,0,
22.03,26.5,16.99,0,13.5,0.16,-5.5,-2.94,0,0,4.33,0,0,7.4,0,0,4,7,0,0,0,0,28,1,1,DETROS810,1,1,841,1011073,42,36,0,1,0,0,0,0,0,0,1,0,1,0,2,0,1,1,1,0,0,1,0,0,0,0,3,CRAFT,0,0,1,0,2,UNKNOWN,1,1,0,0,0,1,0,0,1,0,0,0,6,0,0,1,0,0,0,
79.9,863.25,80,0.99,0,0.16,84.75,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,1,APCSIL301,4,3,168,1011329,46,42,1,1,0,0,0,0,0,0,1,0,1,0,2,0,1,1,0,1,0,0,0,0,0,0,1,PROFESSIONAL,0,0,1,0,2,UNKNOWN,0,0,0,0,0,1,0,0,0,0,2,0,9,0,0,0,129.99,0,0,
55.82,578.5,50,0,17.75,0.49,-0.5,-5.82,5.67,11.67,30.33,0,0.67,146.34,51.33,6.33,226.33,41.33,17.33,0,2.67,0,32,1,1,CHINBK847,2,2,483,1011333,58,56,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,NONE,0,1,0,0,3,UNKNOWN,1,1,0,0,0,1,0,0,0,0,0,0,7,0,0,0,29.99,0,0,
34.99,475.75,44.99,0,0,0,35.25,0,9,0.33,27.67,4,0,192.79,9.33,6,40,99.33,9.33,0,2,0,29,1,1,APCBAL410,2,2,168,1011511,0,0,0,0,0,1,0,0,0,0,3,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,NONE,1,1,0,0,3,UNKNOWN,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,9.99,0,0,
31.24,165.5,39.99,0,0,0,-3.5,-1.25,1.67,3.67,5.33,0,0.67,26.52,13.67,1.33,32.33,39.67,5.33,0,0.67,0,33,1,1,KCYKCK913,3,2,110,1011520,38,34,1,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,CRAFT,0,0,1,0,2,UNKNOWN,0,0,0,0,1,1,0,0,0,1,0,0,7,0,0,0,29.99,0,0,
28.49,68.5,29.99,0,0,0,25.5,0,0,0.33,16.33,0,0,13.04,1.33,0,27,10.67,0.33,0,0.33,0,31,1,1,NYCNEW732,1,1,932,1011690,36,34,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,PROFESSIONAL,0,0,1,0,2,UNKNOWN,1,1,0,0,1,1,0,0,0,1,0,0,5,0,0,1,0,0,0,
